coin,month,monthly_return
LTC,2020-07,0.3986309594938915
LTC,2020-08,0.05371996224117792
LTC,2020-09,-0.2412276307744734
LTC,2020-10,0.19880330700888504
LTC,2020-11,0.5753592705460022
LTC,2020-12,0.42381785485350143
LTC,2021-01,0.039140913677133904
LTC,2021-02,0.27287281843498
LTC,2021-03,0.19749280831762306
LTC,2021-04,0.3730041509503643
LTC,2021-05,-0.30657632352019293
LTC,2021-06,-0.2334573428900074
LTC,2021-07,0.005532132567923398
LTC,2021-08,0.18440226890100808
LTC,2021-09,-0.1078370848914636
LTC,2021-10,0.2524902839148353
LTC,2021-11,0.0844462097237757
LTC,2021-12,-0.29565145376385527
LTC,2022-01,-0.25203634871521285
LTC,2022-02,0.035468204654189206
LTC,2022-03,0.09025309715235497
LTC,2022-04,-0.22268763522770008
LTC,2022-05,-0.28861140967774745
LTC,2022-06,-0.2157967537421578
LTC,2022-07,0.11670570594443275
LTC,2022-08,-0.1010331286034083
LTC,2022-09,-0.008534231804744774
LTC,2022-10,0.03160094795485535
LTC,2022-11,0.43956650023608046
LTC,2022-12,-0.11729835807410016
LTC,2023-01,0.3473315948999762
LTC,2023-02,-0.005464376988132402
LTC,2023-03,-0.043805613763315154
LTC,2023-04,-0.01282841338866525
LTC,2023-05,0.02265112722643181
LTC,2023-06,0.19468204988755144
LTC,2023-07,-0.14720239456387185
LTC,2023-08,-0.30670852765958534
LTC,2023-09,0.03312314675024042
LTC,2023-10,0.0435890516278461
LTC,2023-11,0.007193917425195373
LTC,2023-12,0.048280387604504815
LTC,2024-01,-0.08304291930369267
LTC,2024-02,0.19756179099155458
LTC,2024-03,0.3157646397270186
LTC,2024-04,-0.2442218708181758
LTC,2024-05,0.04708707907493759
LTC,2024-06,-0.09561101273766681
LTC,2024-07,-0.06760861854040101
LTC,2024-08,-0.07310957316408317
LTC,2024-09,0.02707733232825782
LTC,2024-10,0.03568059518467681
LTC,2024-11,0.48353930765244346
LTC,2024-12,0.0039029120802569484
LTC,2025-01,0.24201762980373176
LTC,2025-02,-0.00039782088321815845
LTC,2025-03,-0.3511080486420617
LTC,2025-04,0.005780380281213304
LTC,2025-05,0.043279463876166435
LTC,2025-06,-0.013134733668731413
LTC,2025-07,0.2353950882282716
LTC,2025-08,0.02527584699089358
LTC,2025-09,-0.018459458418126462
LTC,2025-10,-0.10667934496504994
LTC,2025-11,-0.13549013979249713
LTC,2025-12,-0.06999417045630074
LTC,2026-01,-0.22590165009581775
LTC,2026-02,-0.08489406294060697
LTC,2026-03,0.04107516385001353
SOL,2020-04,-0.2733903616925454
SOL,2020-05,-0.17513042087713815
SOL,2020-06,0.5088786581985323
SOL,2020-07,0.7883835344781784
SOL,2020-08,2.1089028341248226
SOL,2020-09,-0.39400914996065706
SOL,2020-10,-0.468334757625792
SOL,2020-11,0.2766217322865838
SOL,2020-12,-0.2318344253072725
SOL,2021-01,1.8222579953135214
SOL,2021-02,2.0696071526737656
SOL,2021-03,0.4871160584244758
SOL,2021-04,1.2068068762906172
SOL,2021-05,-0.23604979389303848
SOL,2021-06,0.08350004684640133
SOL,2021-07,0.035743444462111196
SOL,2021-08,1.945742303833034
SOL,2021-09,0.30037002824001546
SOL,2021-10,0.43490741745277006
SOL,2021-11,0.030876089186502975
SOL,2021-12,-0.18388716958885876
SOL,2022-01,-0.41433128866237945
SOL,2022-02,-0.0021906270870822864
SOL,2022-03,0.2325264515290224
SOL,2022-04,-0.3062537214313955
SOL,2022-05,-0.46216181831776915
SOL,2022-06,-0.266113146906944
SOL,2022-07,0.26234599378853174
SOL,2022-08,-0.25771687506899443
SOL,2022-09,0.05526931178815708
SOL,2022-10,-0.018107854148932345
SOL,2022-11,-0.5671574438388223
SOL,2022-12,-0.29431636814978157
SOL,2023-01,1.4046234595122282
SOL,2023-02,-0.08500805818872958
SOL,2023-03,-0.034033508901569975
SOL,2023-04,0.07848271943883334
SOL,2023-05,-0.087925275954298
SOL,2023-06,-0.092543925249566
SOL,2023-07,0.2552549603391896
SOL,2023-08,-0.16803136030686128
SOL,2023-09,0.08411691958690559
SOL,2023-10,0.8003856392569328
SOL,2023-11,0.5379638450888637
SOL,2023-12,0.7134206697353402
SOL,2024-01,-0.04410694640210444
SOL,2024-02,0.29561155761315305
SOL,2024-03,0.6138070285957753
SOL,2024-04,-0.37417990473360274
SOL,2024-05,0.30461703131061846
SOL,2024-06,-0.1155848980855585
SOL,2024-07,0.1729348956911967
